Row Labels,Average of AVG_DEPTH,Average of Percent_Cvr
Rhodophyta cru. spp,5.333999829,8.5
Turf Algae Free of Sediment,5.333999829,43.5
1017,3.1241999,7.321428571
Bare Substrate,3.1241999,13
Dictyota spp,3.1241999,23.5
Encrusting gorgonian,3.047999902,1
Erythropodium caribaeorum,3.1241999,5
Gorgonians,3.1241999,2
MacroOtherFleshy,3.1241999,6
Other species,3.200399898,1
Peysonnellia,3.047999902,1
Porifera spp,3.1241999,7.5
Porites porites,3.1241999,2
Pseudodiploria strigosa,3.200399898,2
Rhodophyta cru. spp,3.1241999,8
Siderastrea siderea,3.1241999,4
Turf Algae Free of Sediment,3.1241999,26.5
1018,3.505199888,14.28571429
Bare Substrate,3.505199888,12
Gorgonians,3.505199888,2
Halimeda spp,3.505199888,14
MacroOtherCalcareous,3.505199888,1
MacroOtherFleshy,3.505199888,49
Magnoliophyta spp,3.505199888,9
Porifera spp,3.505199888,13
1029,10.34934512,9.454545455
Bare Substrate,10.36319967,13.5
Cyanophyta spp,10.51559966,2
Dictyota spp,10.36319967,23.5
Gorgonians,10.36319967,2.5
Halimeda spp,10.21079967,1
Millepora spp,10.36319967,3
Palythoa spp,10.51559966,1
Porifera spp,10.36319967,21
Porites astreoides,10.21079967,1
Rhodophyta cru. spp,10.21079967,3
Turf Algae Free of Sediment,10.36319967,32.5
1033,7.61153309,11.33333333
Bare Substrate,7.238999769,43.75
Cyanophyta spp,8.077199742,2
Dictyota spp,8.077199742,1
Gorgonians,7.238999769,2
Halimeda spp,8.077199742,1
Millepora spp,7.238999769,1.5
Palythoa spp,8.077199742,1.5
Porifera spp,7.238999769,6
Porites porites,8.077199742,1
Rhodophyta cru. spp,8.077199742,1
Siderastrea radians,8.077199742,1
Siderastrea siderea,8.077199742,1
Turf Algae Free of Sediment,8.077199742,50
Turf Algae with Sediment,6.400799795,38
1036,3.078479901,7.1
Acropora cervicornis,3.047999902,3.5
Bare Substrate,3.047999902,3.5
Dictyota spp,3.047999902,1.5
Gorgonians,3.047999902,5.5
Halimeda spp,3.047999902,7
MacroOtherFleshy,3.047999902,1
Millepora spp,3.200399898,3
Palythoa spp,3.200399898,5
Peysonnellia,3.047999902,1.5
Porifera spp,3.047999902,4
Porites astreoides,3.200399898,2
Porites porites,2.895599907,2
Rhodophyta cru. spp,3.047999902,4.5
Siderastrea siderea,3.200399898,1
Turf Algae Free of Sediment,3.047999902,61.5
1039,7.79621225,6.390625
Agaricia agaricites,7.924799746,1
Bare Substrate,7.696199754,13.5
Cliona spp,7.924799746,1
Cyanophyta spp,7.772399751,1.5
Dictyota spp,7.81049975,12
Encrusting gorgonian,7.81049975,3
Erythropodium caribaeorum,7.696199754,5
Gorgonians,7.81049975,2.5
Halimeda spp,7.696199754,2.5
MacroOtherCalcareous,7.924799746,2
MacroOtherFleshy,7.924799746,1
Millepora spp,7.696199754,4
Montastraea cavernosa,7.696199754,1
Orbicella annularis,7.924799746,1
Orbicella faveolata,7.772399751,6
Other species,7.696199754,1
Palythoa spp,7.696199754,9
Peysonnellia,7.696199754,3.5
Porifera spp,7.81049975,11.5
Porites astreoides,7.619999756,1
Rhodophyta cru. spp,7.81049975,6.5
Siderastrea siderea,7.848599749,1.5
Stephanocoenia intersepta,7.924799746,1
Turf Algae Free of Sediment,7.696199754,27
Turf Algae with Sediment,7.924799746,47
1042,3.505199888,8.416666667
Agaricia agaricites,3.505199888,1
Bare Substrate,3.505199888,5.5
Gorgonians,3.505199888,2.5
MacroOtherFleshy,3.505199888,5.5
Millepora spp,3.505199888,1
Palythoa spp,3.505199888,1.5
Peysonnellia,3.505199888,1
Porifera spp,3.505199888,3
Porites astreoides,3.505199888,2
Rhodophyta cru. spp,3.505199888,8.5
Siderastrea siderea,3.505199888,1
Turf Algae Free of Sediment,3.505199888,68.5
1043,8.686799722,11.27777778
Bare Substrate,8.686799722,33.5
Dictyota spp,8.686799722,5.5
Erythropodium caribaeorum,8.686799722,1
MacroOtherFleshy,8.686799722,1
Millepora spp,8.686799722,2.5
Porifera spp,8.686799722,6.5
Porites astreoides,8.686799722,1
Rhodophyta cru. spp,8.686799722,2
Turf Algae Free of Sediment,8.686799722,48.5
1049,3.200399898,6.25
Agaricia agaricites,3.200399898,3
Cliona spp,3.200399898,2
Dichocoenia stokesii,3.200399898,1
Dictyota spp,3.200399898,22
Encrusting gorgonian,3.200399898,5
Gorgonians,3.200399898,1
Millepora spp,3.200399898,2
Orbicella faveolata,3.200399898,3
Palythoa spp,3.200399898,1
Peysonnellia,3.200399898,1
Porifera spp,3.200399898,7
Porites astreoides,3.200399898,1
Porites porites,3.200399898,9
Rhodophyta cru. spp,3.200399898,7
Siderastrea siderea,3.200399898,1
Turf Algae with Sediment,3.200399898,34
1051,3.94546654,11.16666667
Bare Substrate,3.962399873,7
Gorgonians,3.962399873,6
Halimeda spp,3.962399873,1
Millepora spp,3.809999878,1
Palythoa spp,3.962399873,9
Peysonnellia,3.962399873,1
Porifera spp,3.962399873,2.5
Rhodophyta cru. spp,3.962399873,4
Turf Algae Free of Sediment,3.962399873,69
1052,4.419599859,14.35714286
Bare Substrate,4.419599859,9.5
Dictyota spp,4.419599859,4
Halimeda spp,4.419599859,2
MacroOtherFleshy,4.419599859,59.5
Porites divaricata,4.419599859,1
Rhodophyta cru. spp,4.419599859,7
Turf Algae Free of Sediment,4.419599859,17.5
1053,12.27454961,8.75
Bare Substrate,12.26819961,12.5
Dictyota spp,12.26819961,6.5
Gorgonians,12.19199961,3
Halimeda spp,12.26819961,1
MacroOtherFleshy,12.19199961,1
Millepora spp,12.3443996,1
Montastraea cavernosa,12.3443996,2
Porifera spp,12.26819961,9
Porites furcata,12.3443996,1
Rhodophyta cru. spp,12.19199961,1
Siderastrea radians,12.3443996,1
Turf Algae Free of Sediment,12.26819961,66
1055,12.6999996,11.38888889
Bare Substrate,12.6491996,42.5
Dictyota spp,12.6491996,1.5
Gorgonians,12.6491996,2.5
Halimeda spp,12.80159959,2
MacroOtherFleshy,12.80159959,2
Millepora spp,12.6491996,1
Porifera spp,12.6491996,23.5
Rhodophyta cru. spp,12.80159959,1
Turf Algae Free of Sediment,12.6491996,26.5
1056,6.659217179,8.891304348
Bare Substrate,7.429499763,32.75
Cliona spp,10.97279965,1
Dichocoenia stokesii,4.114799868,1
Dictyota spp,3.886199876,2
Gorgonians,7.429499763,4.25
MacroOtherCalcareous,10.97279965,1
MacroOtherFleshy,7.429499763,8
Millepora spp,3.657599883,3
Palythoa spp,3.886199876,1.5
Peysonnellia,7.315199767,3
Porifera spp,7.429499763,5.25
Porites astreoides,3.886199876,1
Porites porites,10.97279965,1
Pseudodiploria strigosa,4.114799868,2
Rhodophyta cru. spp,3.886199876,2
Siderastrea siderea,3.886199876,1
Turf Algae Free of Sediment,3.886199876,55.5
Turf Algae with Sediment,10.97279965,26
1065,5.222630602,7.769230769
Acropora cervicornis,2.971799905,4
Bare Substrate,2.971799905,5.5
Dictyota spp,5.905499811,10.25
Encrusting gorgonian,5.867399812,9.5
Erythropodium caribaeorum,2.971799905,2.5
Eusmilia fastigiata,2.895599907,1
Gorgonians,5.905499811,2.75
Halimeda spp,2.971799905,5.5
MacroOtherFleshy,5.905499811,6
Millepora spp,8.839199717,1
Palythoa spp,8.839199717,1
Peysonnellia,2.971799905,2.5
Porifera spp,5.905499811,5.25
Porites astreoides,2.971799905,2
Porites porites,2.971799905,11
Rhodophyta cru. spp,5.905499811,5.5
Siderastrea siderea,5.905499811,2.25
Turf Algae Free of Sediment,2.971799905,17
Turf Algae with Sediment,8.839199717,66
1066,2.658533249,5.861111111
Acropora cervicornis,2.666999915,5
Bare Substrate,2.666999915,2
Dictyota spp,2.666999915,19.5
Encrusting gorgonian,2.666999915,1.5
Erythropodium caribaeorum,2.666999915,2.5
Gorgonians,2.666999915,6
Halimeda spp,2.666999915,4.5
MacroOtherFleshy,2.666999915,2.5
Millepora spp,2.590799917,4
Palythoa spp,2.666999915,7
Peysonnellia,2.666999915,5.5
Porifera spp,2.666999915,3
Porites astreoides,2.666999915,2
Porites porites,2.590799917,1
Pseudodiploria strigosa,2.743199912,1
Rhodophyta cru. spp,2.666999915,7.5
Siderastrea siderea,2.590799917,5
Turf Algae Free of Sediment,2.666999915,26
1079,3.505199888,11.55555556
Bare Substrate,3.505199888,4
Gorgonians,3.505199888,9.5
MacroOtherFleshy,3.505199888,1.5
Millepora spp,3.505199888,2
Palythoa spp,3.505199888,5
Peysonnellia,3.505199888,4
Porifera spp,3.505199888,1
Rhodophyta cru. spp,3.505199888,9
Turf Algae Free of Sediment,3.505199888,68
1080,7.924799746,11.11111111
Bare Substrate,7.924799746,49
Cyanophyta spp,7.924799746,11
Gorgonians,7.924799746,4
MacroOtherFleshy,7.924799746,2
Millepora spp,7.924799746,1
Palythoa spp,7.924799746,1
Porifera spp,7.924799746,5
Rhodophyta cru. spp,7.924799746,1
Turf Algae with Sediment,7.924799746,26
1082,10.09649968,8.520833333
Bare Substrate,10.13459968,4.75
Cliona spp,11.27759964,1
Dictyota spp,10.13459968,25
Encrusting gorgonian,10.28699967,11
Erythropodium caribaeorum,11.27759964,2
Gorgonians,8.686799722,2
Halimeda spp,8.686799722,4
MacroOtherCalcareous,10.28699967,1
MacroOtherFleshy,8.686799722,1
Millepora spp,9.982199681,1
Other species,8.686799722,3
Porifera spp,10.13459968,5.25
Rhodophyta cru. spp,10.13459968,3.5
Siderastrea siderea,11.27759964,2
Stephanocoenia intersepta,11.27759964,1
Turf Algae Free of Sediment,11.58239963,65.5
Turf Algae with Sediment,8.686799722,20
1083,2.066924934,12.75
Dictyota spp,2.133599932,1
Gorgonians,2.057399934,2.5
Halimeda spp,1.981199937,1
Palythoa spp,2.057399934,3
Peysonnellia,2.057399934,10.5
Porifera spp,2.133599932,2
Rhodophyta cru. spp,2.057399934,31
Turf Algae Free of Sediment,2.057399934,51
1085,6.949439778,10
Bare Substrate,7.772399752,12.5
Cliona spp,11.88719962,1
Dictyota spp,7.772399752,28.5
Encrusting gorgonian,3.657599883,6
Gorgonians,3.657599883,7
Halimeda spp,7.772399752,2.5
MacroOtherFleshy,3.657599883,9
Magnoliophyta spp,3.657599883,9
Porifera spp,7.772399752,7
Porites astreoides,7.772399752,2
Rhodophyta cru. spp,7.772399752,3
Siderastrea siderea,3.657599883,8
Turf Algae with Sediment,7.772399752,24.5
1086,5.773881633,9.227272727
Agaricia agaricites,7.619999756,1
Bare Substrate,4.495799856,8.5
Cliona spp,7.619999756,2
Dictyota spp,4.495799856,4
Encrusting gorgonian,7.619999756,5
Gorgonians,6.095999805,12.5
Halimeda spp,4.571999854,1
MacroOtherFleshy,6.057899806,12
Millepora spp,6.019799808,1
Montastraea cavernosa,7.619999756,1
Palythoa spp,4.495799856,4
Peysonnellia,4.495799856,2.5
Porifera spp,4.571999854,1
Porites porites,4.419599859,1
Rhodophyta cru. spp,4.495799856,9.5
Siderastrea siderea,6.019799808,3
Turf Algae Free of Sediment,4.495799856,61.5
Turf Algae with Sediment,7.619999756,44
1087,8.305799734,6.166666667
Agaricia agaricites,8.686799722,1
Bare Substrate,8.305799734,8
Dichocoenia stokesii,8.305799734,1
Dictyota spp,8.305799734,20.5
Encrusting gorgonian,8.305799734,3
Erythropodium caribaeorum,7.924799746,4
Gorgonians,7.924799746,3
Halimeda spp,7.924799746,4
Lobophora spp,7.924799746,1
Millepora spp,8.686799722,3
Other species,7.924799746,1
Peysonnellia,8.305799734,13
Porifera spp,8.305799734,1.5
Porites astreoides,8.686799722,1
Porites porites,8.686799722,3
Rhodophyta cru. spp,8.305799734,10
Siderastrea siderea,8.686799722,1
Turf Algae Free of Sediment,8.305799734,32
1089,2.895599907,6.666666667
Agaricia agaricites,2.895599907,1
Bare Substrate,2.895599907,1
Cliona spp,2.895599907,2
Cyanophyta spp,2.895599907,14
Dictyota spp,2.895599907,31
Encrusting gorgonian,2.895599907,6
Gorgonians,2.895599907,4
Halimeda spp,2.895599907,5
MacroOtherCalcareous,2.895599907,1
MacroOtherFleshy,2.895599907,9
Porifera spp,2.895599907,2
Porites porites,2.895599907,2
Rhodophyta cru. spp,2.895599907,3
Siderastrea siderea,2.895599907,1
Turf Algae with Sediment,2.895599907,18
1091,4.419599859,7.692307692
Bare Substrate,4.419599859,9
Cliona spp,4.419599859,1
Dichocoenia stokesii,4.419599859,1
Dictyota spp,4.419599859,11
Encrusting gorgonian,4.419599859,24
Gorgonians,4.419599859,6
Halimeda spp,4.419599859,2
MacroOtherFleshy,4.419599859,11
Porifera spp,4.419599859,3
Rhodophyta cru. spp,4.419599859,6
Siderastrea siderea,4.419599859,5
Stephanocoenia intersepta,4.419599859,1
Turf Algae with Sediment,4.419599859,20
1093,17.37359944,7.142857143
Bare Substrate,17.37359944,9
Cliona spp,17.37359944,1
Cyanophyta spp,17.37359944,1
Dictyota spp,17.37359944,5
Encrusting gorgonian,17.37359944,16
Gorgonians,17.37359944,1
Halimeda spp,17.37359944,3
MacroOtherFleshy,17.37359944,1
Millepora spp,17.37359944,1
Peysonnellia,17.37359944,1
Porifera spp,17.37359944,12
Rhodophyta cru. spp,17.37359944,9
Stephanocoenia intersepta,17.37359944,2
Turf Algae with Sediment,17.37359944,38
1095,4.419599859,5.882352941
Cliona spp,4.419599859,2
Cyanophyta spp,4.419599859,4
Dichocoenia stokesii,4.419599859,1
Dictyota spp,4.419599859,32
Encrusting gorgonian,4.419599859,19
Gorgonians,4.419599859,3
Halimeda spp,4.419599859,10
MacroOtherCalcareous,4.419599859,1
MacroOtherFleshy,4.419599859,4
Millepora spp,4.419599859,2
Other species,4.419599859,1
Porifera spp,4.419599859,2
Porites astreoides,4.419599859,3
Porites divaricata,4.419599859,1
Siderastrea radians,4.419599859,1
Siderastrea siderea,4.419599859,5
Turf Algae with Sediment,4.419599859,9
1096,3.301999894,5.722222222
Acropora cervicornis,3.505199888,1
Agaricia agaricites,3.505199888,1
Bare Substrate,3.276599895,3.5
Dictyota spp,3.276599895,13
Encrusting gorgonian,3.276599895,3.5
Erythropodium caribaeorum,3.276599895,11
Gorgonians,3.276599895,6
Halimeda spp,3.276599895,5.5
MacroOtherFleshy,3.505199888,2
Millepora spp,3.047999902,2
Palythoa spp,3.276599895,12.5
Peysonnellia,3.276599895,3.5
Porifera spp,3.276599895,8.5
Porites astreoides,3.276599895,5
Porites porites,3.276599895,4.5
Rhodophyta cru. spp,3.276599895,5
Siderastrea siderea,3.276599895,1
Turf Algae Free of Sediment,3.276599895,14.5
1097,6.705599785,6.666666667
Agaricia agaricites,6.705599785,1
Bare Substrate,6.705599785,5
Cliona spp,6.705599785,2
Dictyota spp,6.705599785,21
Encrusting gorgonian,6.705599785,32
Gorgonians,6.705599785,5
Millepora spp,6.705599785,2
Montastraea cavernosa,6.705599785,1
Orbicella faveolata,6.705599785,1
Porifera spp,6.705599785,7
Porites astreoides,6.705599785,3
Rhodophyta cru. spp,6.705599785,3
Siderastrea siderea,6.705599785,6
Stephanocoenia intersepta,6.705599785,1
Turf Algae with Sediment,6.705599785,10
1098,5.257799832,4.976190476
Bare Substrate,5.257799832,2.5
Dichocoenia stokesii,5.333999829,1
Dictyota spp,5.257799832,13.5
Encrusting gorgonian,5.257799832,3.5
Erythropodium caribaeorum,5.257799832,10.5
Gorgonians,5.257799832,3
Halimeda spp,5.257799832,7.5
Lobophora spp,5.181599834,1
MacroOtherFleshy,5.257799832,4
Millepora spp,5.333999829,1
Other species,5.257799832,1
Palythoa spp,5.181599834,1
Peysonnellia,5.257799832,2
Porifera spp,5.257799832,13.5
Porites astreoides,5.257799832,2
Porites divaricata,5.257799832,1
Porites furcata,5.257799832,5.5
Rhodophyta cru. spp,5.257799832,12
Siderastrea siderea,5.333999829,2
Stephanocoenia intersepta,5.181599834,3
Turf Algae Free of Sediment,5.257799832,14
1100,5.278581649,6.212121212
Agaricia agaricites,5.791199815,1.5
Bare Substrate,5.676899819,19.25
Cliona spp,7.162799771,3
Dichocoenia stokesii,3.962399873,1
Dictyota spp,5.676899819,6.75
Encrusting gorgonian,5.676899819,3.5
Erythropodium caribaeorum,4.190999866,4.5
Gorgonians,4.190999866,3
Halimeda spp,5.676899819,3.75
MacroOtherFleshy,4.190999866,14
Millepora spp,5.676899819,1
Other species,5.676899819,1.25
Palythoa spp,5.562599822,1
Peysonnellia,4.190999866,3.5
Porifera spp,5.676899819,9.5
Porites astreoides,3.962399873,2
Porites furcata,4.190999866,1.5
Porites porites,4.419599859,1
Rhodophyta cru. spp,5.676899819,5.5
Siderastrea siderea,4.419599859,3
Stephanocoenia intersepta,4.419599859,1
Turf Algae Free of Sediment,4.190999866,19.5
Turf Algae with Sediment,7.162799771,42
1101,9.186671707,6.08
Agaricia agaricites,21.9455993,2
Bare Substrate,2.628899916,5
Cliona spp,12.4967996,3.5
Cyanophyta spp,12.4967996,3.5
Dictyota spp,9.06779971,18.5
Encrusting gorgonian,9.06779971,5
Erythropodium caribaeorum,2.133599932,4
Gorgonians,9.06779971,5.333333333
Halimeda spp,9.06779971,4.166666667
Lobophora spp,21.9455993,7
MacroOtherFleshy,2.628899916,5.5
Magnoliophyta spp,2.666999915,2
Millepora spp,9.06779971,1.5
Montastraea cavernosa,3.047999902,1
Mycetophyllia aliciae,21.9455993,1
Orbicella faveolata,21.9455993,3
Other species,2.209799929,1.5
Peysonnellia,12.07769961,1.5
Porifera spp,9.06779971,9.666666667
Porites astreoides,2.590799917,3
Porites furcata,2.209799929,1.5
Porites porites,3.047999902,3
Rhodophyta cru. spp,12.07769961,11.25
Siderastrea siderea,9.06779971,2.166666667
Stephanocoenia intersepta,21.9455993,1
Turf Algae Free of Sediment,2.209799929,29.5
Turf Algae with Sediment,12.4967996,20
1102,9.753599688,6.176470588
Bare Substrate,9.753599688,14
Dictyota spp,9.753599688,35.5
Encrusting gorgonian,9.753599688,7
Erythropodium caribaeorum,9.753599688,4
Halimeda spp,9.753599688,1
Lobophora spp,9.753599688,1
Orbicella faveolata,9.753599688,2
Palythoa spp,9.753599688,1
Peysonnellia,9.753599688,2
Porifera spp,9.753599688,14.5
Porites astreoides,9.753599688,1
Porites furcata,9.753599688,2
Porites porites,9.753599688,3
Rhodophyta cru. spp,9.753599688,6.5
Siderastrea siderea,9.753599688,2
Stephanocoenia intersepta,9.753599688,2
Turf Algae Free of Sediment,9.753599688,6.5
1108,4.599708944,9.727272727
Bare Substrate,4.876799844,2
Dictyota spp,4.571999854,22.5
Gorgonians,4.571999854,3
Halimeda spp,4.267199863,3
Meandrina meandrites,4.876799844,3
Millepora spp,4.876799844,3
Palythoa spp,4.571999854,9
Peysonnellia,4.571999854,5
Porifera spp,4.267199863,3
Rhodophyta cru. spp,4.571999854,17.5
Turf Algae Free of Sediment,4.571999854,36
1112,5.779476738,7.846153846
Bare Substrate,5.791199815,19.5
Dictyota spp,5.791199815,37
Gorgonians,5.791199815,3.5
Halimeda spp,5.63879982,2
MacroOtherFleshy,5.791199815,4.5
Millepora spp,5.791199815,1.5
Other species,5.94359981,1
Palythoa spp,5.791199815,7.5
Peysonnellia,5.791199815,3
Porifera spp,5.791199815,3
Porites astreoides,5.63879982,1
Rhodophyta cru. spp,5.791199815,5
Turf Algae Free of Sediment,5.791199815,13.5
1115,8.516470316,6.5
Bare Substrate,8.381999732,13
Cliona spp,8.381999732,1
Dichocoenia stokesii,8.381999732,1
Dictyota spp,8.534399727,34
Encrusting gorgonian,8.534399727,3
Erythropodium caribaeorum,8.534399727,7.5
Gorgonians,8.686799722,1
Halimeda spp,8.686799722,1
Lobophora spp,8.534399727,3.5
MacroOtherFleshy,8.534399727,7
Millepora spp,8.686799722,1
Montastraea cavernosa,8.381999732,1
Peysonnellia,8.534399727,5.5
Porifera spp,8.534399727,7.5
Rhodophyta cru. spp,8.534399727,11.5
Siderastrea siderea,8.381999732,2
Turf Algae Free of Sediment,8.534399727,10
1123,9.296399703,9.090909091
Agaricia agaricites,9.296399703,1
Bare Substrate,9.296399703,4
Cyanophyta spp,9.296399703,1
Dictyota spp,9.296399703,53
Gorgonians,9.296399703,1
MacroOtherCalcareous,9.296399703,1
Millepora spp,9.296399703,2
Porifera spp,9.296399703,4
Rhodophyta cru. spp,9.296399703,8
Siderastrea siderea,9.296399703,2
Turf Algae with Sediment,9.296399703,23
1130,7.010399776,11.11111111
Bare Substrate,7.010399776,14
Dichocoenia stokesii,7.010399776,9
Gorgonians,7.010399776,12
MacroOtherFleshy,7.010399776,3
Millepora spp,7.010399776,4
Montastraea cavernosa,7.010399776,1
Porifera spp,7.010399776,11
Siderastrea siderea,7.010399776,2
Turf Algae with Sediment,7.010399776,44
1140,22.09799929,10
Agaricia agaricites,22.09799929,1
Bare Substrate,22.09799929,30
Cliona spp,22.09799929,1
Cyanophyta spp,22.09799929,4
Halimeda spp,22.09799929,7
MacroOtherFleshy,22.09799929,3
Millepora spp,22.09799929,1
Montastraea cavernosa,22.09799929,1
Porifera spp,22.09799929,16
Turf Algae with Sediment,22.09799929,36
1168,3.047999902,14.28571429
Cliona spp,3.047999902,1
Dichocoenia stokesii,3.047999902,1
Gorgonians,3.047999902,3
MacroOtherFleshy,3.047999902,6
Meandrina spp,3.047999902,1
Millepora spp,3.047999902,1
Turf Algae with Sediment,3.047999902,87
1226,7.010399776,7.692307692
Bare Substrate,7.010399776,8
Cyanophyta spp,7.010399776,10
Dictyota spp,7.010399776,12
Gorgonians,7.010399776,1
Halimeda spp,7.010399776,2
MacroOtherCalcareous,7.010399776,1
MacroOtherFleshy,7.010399776,19
Palythoa spp,7.010399776,10
Porifera spp,7.010399776,6
Porites astreoides,7.010399776,2
Rhodophyta cru. spp,7.010399776,2
Siderastrea siderea,7.010399776,1
Turf Algae with Sediment,7.010399776,26
1230,11.58239963,12.5
Agaricia agaricites,11.58239963,1
Cliona spp,11.58239963,2
Gorgonians,11.58239963,3
MacroOtherFleshy,11.58239963,55
Millepora spp,11.58239963,2
Orbicella annularis,11.58239963,1
Siderastrea siderea,11.58239963,2
Turf Algae with Sediment,11.58239963,34
1303,19.04999939,8.333333333
Bare Substrate,19.04999939,27
Cliona spp,19.04999939,8
Cyanophyta spp,19.04999939,13
Gorgonians,19.04999939,7
Halimeda spp,19.04999939,4
MacroOtherCalcareous,19.04999939,2
Millepora spp,19.04999939,1
Porifera spp,19.04999939,17
Scolymia cubensis,19.04999939,1
Siderastrea siderea,19.04999939,1
Turf Algae Free of Sediment,19.04999939,1
Turf Algae with Sediment,19.04999939,18
1306,3.505199888,20
Bare Substrate,3.505199888,5
Gorgonians,3.505199888,1
MacroOtherFleshy,3.505199888,15
Porifera spp,3.505199888,2
Turf Algae with Sediment,3.505199888,77
1359,12.6491996,16.66666667
Gorgonians,12.6491996,2
MacroOtherFleshy,12.6491996,49
Millepora spp,12.6491996,1
Porifera spp,12.6491996,4
Siderastrea siderea,12.6491996,1
Turf Algae with Sediment,12.6491996,43
1363,5.94359981,12.5
Agaricia agaricites,5.94359981,1
Cliona spp,5.94359981,1
Dichocoenia stokesii,5.94359981,10
Gorgonians,5.94359981,8
MacroOtherFleshy,5.94359981,10
Millepora spp,5.94359981,1
Siderastrea siderea,5.94359981,3
Turf Algae with Sediment,5.94359981,66
1397,17.67839943,33.33333333
Halimeda spp,17.67839943,3
MacroOtherFleshy,17.67839943,2
Turf Algae with Sediment,17.67839943,95
1398,14.47799954,10
Cliona spp,14.47799954,3
Cyanophyta spp,14.47799954,4
Encrusting gorgonian,14.47799954,3
Gorgonians,14.47799954,16
MacroOtherFleshy,14.47799954,39
Millepora spp,14.47799954,3
Porifera spp,14.47799954,2
Siderastrea radians,14.47799954,1
Siderastrea siderea,14.47799954,1
Turf Algae with Sediment,14.47799954,28
1400,22.55519928,10.3
Agaricia spp,22.55519928,3
Cliona spp,22.55519928,2
Gorgonians,22.55519928,2
MacroOtherFleshy,22.55519928,15
Orbicella faveolata,22.55519928,1
Orbicella franksi,22.55519928,1
Porifera spp,22.55519928,5
Siderastrea siderea,22.55519928,3
Turf Algae with Sediment,22.55519928,68
1517,2.895599907,10
Bare Substrate,2.895599907,5
Dictyota spp,2.895599907,2
Encrusting gorgonian,2.895599907,1
Halimeda spp,2.895599907,10
MacroOtherCalcareous,2.895599907,4
MacroOtherFleshy,2.895599907,62
Magnoliophyta spp,2.895599907,5
Porifera spp,2.895599907,7
Siderastrea siderea,2.895599907,1
Turf Algae with Sediment,2.895599907,3
1519,3.962399873,16.66666667
Cliona spp,3.962399873,2
Gorgonians,3.962399873,12
Halimeda spp,3.962399873,2
MacroOtherFleshy,3.962399873,1
Siderastrea siderea,3.962399873,5
Turf Algae with Sediment,3.962399873,78
1523,9.502139696,10.4
Bare Substrate,9.524999695,21
Dictyota spp,9.524999695,20.5
Erythropodium caribaeorum,9.296399703,3
Gorgonians,9.524999695,1
Halimeda spp,9.296399703,4
Millepora spp,9.524999695,2
Porifera spp,9.524999695,4.5
Rhodophyta cru. spp,9.524999695,4
Stephanocoenia intersepta,9.753599688,1
Turf Algae Free of Sediment,9.524999695,43
1524,4.638674851,6.4375
Bare Substrate,4.648199851,5
Dictyota spp,4.648199851,22.5
Erythropodium caribaeorum,4.571999854,2
Gorgonians,4.648199851,8
Halimeda spp,4.648199851,2
