"Zone","Sub_region","Season","Month","Region","Tem_mean","Tem_sd","Sal_mean","Sal_sd","TA_mean","TA_sd","nTA_mean","nTA_sd","nDIC_mean","nDIC_sd","DIC_mean","DIC_sd","pCO2_mean","pCO2_sd","pH_mean","pH_sd","Ara_mean","Ara_sd","n"
"Inshore","UK","Spring","May","FL",27.52,1.41,36.95,0.35,2328.47,49.2,2269.08,68.59,1865.68,68.2,1914.43,52.67,287.76,43.48,8.15,0.05,4.53,0.2,6
"Inshore","UK","Spring","Jun","FL",29.05,1.07,36.48,0.41,2334.66,44.63,2304.06,64.87,1944.06,71.02,1969.73,53.45,373.35,32.7,8.06,0.03,4.1,0.23,8
"Inshore","UK","Summer","Jul","FL",31.01,0.9,36.19,0.65,2341.92,55.61,2330.14,74.14,1993.01,53.85,2003.02,28.24,455.38,51.31,8,0.05,3.91,0.42,13
"Inshore","UK","Summer","Aug","FL",31.6,1.16,36.37,0.28,2357.59,32.17,2333.65,46.4,1969.86,37.7,1990.11,28.34,416.67,44.09,8.03,0.04,4.22,0.17,6
"Inshore","UK","Summer","Sep","FL",31.43,1.7,35.11,1.32,2334.56,48.9,2395.59,68.77,2103.43,95.55,2049.13,60.91,574.92,81.14,7.92,0.05,3.4,0.44,7
"Inshore","UK","Fall","Oct","FL",29.28,0.31,34.78,0.43,2371.62,51.1,2455.01,55.56,2174.53,80.09,2100.47,69.3,579.29,94.16,7.92,0.05,3.24,0.3,7
"Inshore","UK","Fall","Nov","FL",25.17,1.37,35.7,0.59,2434.71,44.55,2455.42,62.86,2188.82,90.47,2169.94,67.88,551.14,97.74,7.95,0.06,3.08,0.39,9
"Inshore","UK","Fall","Dec","FL",23.4,1.33,35.85,0.72,2448.61,73.68,2460.7,117.2,2162.39,142.48,2151.1,102.07,441.97,66.55,8.03,0.04,3.38,0.28,11
"Inshore","UK","Winter","Jan","FL",21.88,3.14,35.78,0.9,2450.94,86.49,2468.5,139.41,2160.79,142.53,2145.17,99.19,399.09,60.64,8.07,0.05,3.44,0.19,10
"Inshore","UK","Winter","Feb","FL",22.98,1.38,36.04,0.22,2403.68,50.97,2400.46,43.59,2046.44,65.62,2049.28,72.97,322.33,29.69,8.13,0.02,3.92,0.24,4
"Inshore","UK","Winter","Mar","FL",24.43,0.71,36.55,0.43,2413.42,40.1,2377.33,66.45,2021.96,78.97,2052.45,57.36,341.68,46.04,8.11,0.04,4,0.19,7
"Inshore","MK","Spring","Apr","FL",26.62,2.06,36.83,0.61,2346.95,40.4,2294.74,56.34,1900.44,62.52,1943.73,56.15,296.28,50.25,8.15,0.06,4.42,0.23,12
"Inshore","MK","Spring","May","FL",27.56,1.72,37.08,0.34,2312.21,37.14,2244.97,48.63,1844.79,61.65,1899.93,52.4,288.79,56.53,8.15,0.06,4.5,0.28,8
"Inshore","MK","Spring","Jun","FL",29.64,1.19,36.66,0.59,2261.71,85.32,2220.98,73.75,1864.99,81.41,1899.02,85.47,368.92,74.4,8.06,0.07,4.03,0.49,15
"Inshore","MK","Summer","Jul","FL",31.46,1.1,36.85,1.11,2238.31,102.24,2190.18,151.54,1881.33,138.96,1922.3,94.07,476.55,69.57,7.96,0.05,3.58,0.33,12
"Inshore","MK","Summer","Aug","FL",30.84,1.28,36.66,0.51,2255.61,117.77,2215.98,133.8,1887.56,110.38,1921.24,94.74,430.21,44.29,8,0.05,3.77,0.42,8
"Inshore","MK","Summer","Sep","FL",30.48,2.17,36.2,1.17,2283.5,95.25,2274.29,147.79,1982.52,161.93,1989.58,111.12,520.97,64.84,7.94,0.04,3.39,0.4,9
"Inshore","MK","Fall","Oct","FL",28.96,0.38,34.73,0.49,2350.86,41.95,2436.98,49.91,2127.81,54.03,2052.68,51.26,495.76,88.27,7.98,0.07,3.5,0.41,10
"Inshore","MK","Fall","Nov","FL",25.85,1.5,36.06,0.44,2370.35,23.35,2366.22,31.97,2074.45,57.41,2077.83,42.76,469.97,54.94,7.99,0.04,3.33,0.38,9
"Inshore","MK","Fall","Dec","FL",23.15,0.62,35.58,1.58,2441.5,59.56,2475.54,137.45,2172.08,137.76,2141.76,69.94,425.94,48.65,8.04,0.04,3.4,0.23,14
"Inshore","MK","Winter","Jan","FL",22.45,2.05,35.91,0.36,2449.72,106.78,2455.93,117.8,2157.66,109.51,2152.1,98.09,425.12,51.61,8.05,0.05,3.36,0.33,9
"Inshore","MK","Winter","Feb","FL",22.96,1.69,34.71,2.06,2447.74,88.49,2549.92,234.99,2181.47,214.24,2093.72,96.17,323.42,30.29,8.14,0.04,4,0.2,6
"Inshore","MK","Winter","Mar","FL",24.71,1.38,36.69,0.4,2414.77,34.13,2369.94,58.71,2022.13,61.5,2060.33,43.7,357.01,46.23,8.1,0.04,3.93,0.16,7
"Inshore","LK","Spring","Apr","FL",26.69,1.88,36.26,0.69,2293.27,67.54,2278.36,102.4,1922.99,107.71,1935.43,82.24,338,54.3,8.1,0.06,3.95,0.3,12
"Inshore","LK","Spring","May","FL",26.99,1.58,36.95,0.35,2224.87,58.43,2166.95,37.43,1823.39,42.64,1872.19,59.39,332.41,41.77,8.09,0.04,3.83,0.26,7
"Inshore","LK","Spring","Jun","FL",29.3,1.4,36.72,0.6,2246.86,75.57,2203.47,83.48,1881.43,86.69,1917.99,69.37,417.84,77.49,8.01,0.07,3.67,0.4,16
"Inshore","LK","Summer","Jul","FL",31,0.88,36.1,1.36,2224.93,108.61,2221.72,142.43,1939.16,121.37,1941.93,89.93,530.24,59.74,7.92,0.05,3.26,0.38,9
"Inshore","LK","Summer","Aug","FL",31.38,1.14,36.41,0.39,2182.32,67.04,2157.57,67.91,1888.61,73.78,1905.11,74.29,512.38,114.83,7.94,0.07,3.31,0.45,10
"Inshore","LK","Summer","Sep","FL",30.17,1.75,35.72,0.82,2266.86,100.2,2286.94,137.52,2005.78,137.17,1987.7,100.21,539.24,77.46,7.93,0.06,3.24,0.35,9
"Inshore","LK","Fall","Oct","FL",28.41,2.68,35.4,0.78,2272.22,73.56,2312.63,109.07,2034.75,108.33,1998.91,73.03,516.18,75.9,7.95,0.06,3.16,0.21,12
"Inshore","LK","Fall","Nov","FL",26.05,0.66,36.55,0.67,2350.19,38.7,2315.49,57.4,2053.71,54.41,2084.38,32.4,533.51,41.97,7.94,0.03,3.03,0.2,9
"Inshore","LK","Fall","Dec","FL",23.15,0.68,36.03,0.72,2340.11,92.69,2339.39,111.32,2052.8,98.19,2053.29,78.17,421.5,47.53,8.03,0.04,3.2,0.34,15
"Inshore","LK","Winter","Jan","FL",21.85,1.87,36.41,0.95,2372.27,81.24,2345.88,75.55,2082.6,70.96,2106.14,78.65,460.53,67.88,8.01,0.06,2.98,0.28,11
"Inshore","LK","Winter","Feb","FL",22.77,1.99,35.44,0.68,2420.97,47.38,2459.84,62.19,2135.43,75,2101.3,50.3,375.11,37.64,8.09,0.04,3.6,0.4,8
"Inshore","LK","Winter","Mar","FL",24.39,1.51,36.39,0.55,2384.59,36.14,2359.44,60.07,2014.82,75.82,2035.92,49.44,352.24,57.84,8.1,0.06,3.86,0.41,9
"Mid channel","BB","Spring","Apr","FL",25.98,1.08,36.45,0.22,2374.59,27.15,2344.98,35.41,1999.13,51.89,2024.27,43.78,365.61,33.8,8.08,0.03,3.9,0.21,9
"Mid channel","BB","Spring","May","FL",26.65,0.84,36.38,0.13,2389.94,6.23,2364.63,10.62,2016.56,23.39,2038.11,17.55,376.43,22.54,8.07,0.02,3.95,0.16,4
"Mid channel","BB","Spring","Jun","FL",28.67,0.97,35.99,0.46,2354.68,23.9,2355.62,43.81,2015.1,44.87,2014.28,31.05,411.39,25.07,8.04,0.02,3.88,0.08,5
"Mid channel","BB","Summer","Jul","FL",30.29,0.54,36.01,0.47,2369.75,16.59,2369.39,30.56,2042.85,36.73,2043.05,17.7,474.53,42.89,7.99,0.03,3.79,0.19,10
"Mid channel","BB","Summer","Aug","FL",30.88,1.09,36.28,0.14,2358.79,28.02,2340.62,28.94,2008.08,23.66,2023.66,21.08,465.11,24.8,7.99,0.02,3.87,0.24,4
"Mid channel","BB","Summer","Sep","FL",29.35,1.02,35.06,0.91,2365.76,31.15,2429.68,50.02,2127.92,72.31,2071.56,45.75,518.25,56.36,7.96,0.04,3.46,0.31,6
"Mid channel","BB","Fall","Oct","FL",29.04,0.38,35.32,0.42,2374.71,16.05,2420.37,31.6,2100.68,39.43,2061.05,30.47,472.44,37.91,7.99,0.03,3.65,0.17,7
"Mid channel","BB","Fall","Nov","FL",26.78,0.61,36.09,0.28,2385.9,15.4,2379.99,21.62,2073.49,44.45,2078.49,32.76,461.58,66.9,8,0.05,3.51,0.28,6
"Mid channel","BB","Fall","Dec","FL",24.71,0.47,36.01,0.4,2394.11,18.09,2393.51,34.93,2078.62,40.88,2079.06,24.76,408.48,24.14,8.05,0.02,3.55,0.11,8
"Mid channel","BB","Winter","Jan","FL",24.24,1.4,36.17,0.37,2385.81,22.39,2374.72,38.89,2056.97,37.47,2066.57,24.92,391.47,11.67,8.06,0.01,3.57,0.07,7
"Mid channel","BB","Winter","Feb","FL",23.61,1.1,36.01,0.18,2388.41,18.44,2387.57,16.13,2066.74,20.23,2067.46,20.86,377.81,7.7,8.08,0.01,3.58,0.05,3
"Mid channel","BB","Winter","Mar","FL",24.42,0.19,36.44,0.11,2393.19,18.16,2364.01,18.8,2031.09,17.05,2056.16,16.7,368.84,11.25,8.08,0.01,3.75,0.09,6
"Mid channel","UK","Spring","Apr","FL",26.41,1.34,36.42,0.2,2381.1,5.85,2353.43,9.43,1986.29,34.87,2009.63,33.82,343.32,53.89,8.11,0.06,4.14,0.29,5
"Mid channel","UK","Spring","May","FL",26.84,1.14,36.59,0.23,2393.83,1.48,2354.94,15.35,1979.85,47.71,2012.4,35.98,340.88,68.4,8.11,0.07,4.25,0.32,3
"Mid channel","UK","Spring","Jun","FL",28.92,0.95,36.32,0.17,2375.21,15.18,2354.37,13.35,2007.13,25.23,2024.82,18.35,409.4,31.39,8.04,0.03,3.99,0.26,9
"Mid channel","UK","Summer","Jul","FL",30.72,0.77,35.82,0.49,2362.1,12.9,2374.37,26.23,2040.39,35.73,2029.7,13.44,464.15,33.62,7.99,0.03,3.86,0.14,9
"Mid channel","UK","Summer","Aug","FL",30.75,0.49,36.24,0.07,2397.87,21.91,2382.01,18.02,2025.19,13.97,2038.67,17.34,429.74,7.91,8.02,0.01,4.15,0.05,3
"Mid channel","UK","Summer","Sep","FL",30.31,1.76,35.15,1.02,2367.89,24.44,2426.28,57.74,2109,96.49,2057.72,66.3,508.78,99.54,7.97,0.06,3.66,0.57,6
"Mid channel","UK","Fall","Oct","FL",29.49,0.15,35.09,0.15,2372.2,15.1,2433.42,23.34,2109.44,32.12,2056.36,26.35,472.19,37.01,7.99,0.03,3.7,0.17,6
"Mid channel","UK","Fall","Nov","FL",26.63,0.77,35.77,0.4,2370.72,23.55,2386.17,27.49,2088.48,57.17,2074.77,46.56,473.58,65.81,7.99,0.05,3.39,0.34,5
"Mid channel","UK","Fall","Dec","FL",24.65,1.13,36.17,0.23,2395.77,12.75,2384.67,19.8,2066.92,31.71,2076.52,27.24,402.08,21.98,8.05,0.02,3.59,0.19,8
"Mid channel","UK","Winter","Jan","FL",23.91,2.66,36.02,0.46,2400.69,39.92,2399.71,62.01,2073.66,64.33,2074.45,46.32,377.47,18.89,8.08,0.03,3.65,0.1,7
"Mid channel","UK","Winter","Feb","FL",23.45,0.78,35.87,0.11,2383.89,1,2392.6,6.14,2059.32,15.28,2051.81,9.1,354.01,3.74,8.1,0,3.69,0.12,2
"Mid channel","UK","Winter","Mar","FL",24.8,0.94,36.43,0.2,2380.37,17.53,2352.37,5.9,2006.06,26.39,2029.92,29.02,350.67,39.38,8.1,0.04,3.88,0.22,6
"Mid channel","MK","Spring","Apr","FL",26.37,1.27,36.53,0.38,2385.93,10.93,2351.37,31.25,1985.85,35.1,2014.99,20.46,343.82,33.04,8.1,0.04,4.13,0.21,12
"Mid channel","MK","Spring","May","FL",27.42,1.28,36.73,0.39,2350.29,42.94,2304.11,61.19,1932.68,80.12,1971.19,65.06,339.92,62.72,8.1,0.06,4.2,0.3,8
"Mid channel","MK","Spring","Jun","FL",29.51,1.04,36.39,0.34,2310.49,88.85,2285.35,78.57,1941.41,68.9,1962.77,77.2,401.31,42.44,8.04,0.04,3.93,0.32,13
"Mid channel","MK","Summer","Jul","FL",31.23,1.12,36.18,0.64,2303.7,66.08,2293.17,91.25,1969.95,84.14,1978.8,57.26,469.73,40.5,7.98,0.03,3.74,0.23,13
"Mid channel","MK","Summer","Aug","FL",30.98,1.02,36.26,0.29,2335.35,57.66,2318.35,60.86,1969.3,55.01,1983.64,48.38,424.06,16.76,8.02,0.02,4.03,0.22,8
"Mid channel","MK","Summer","Sep","FL",30.46,1.2,35.55,0.88,2321.12,62.63,2351.94,99.73,2039.51,94.56,2012.63,61.04,489.87,23.08,7.97,0.02,3.59,0.15,9
"Mid channel","MK","Fall","Oct","FL",29.22,0.51,35.19,0.27,2376.57,23.26,2431.5,33.16,2097.96,40.78,2050.5,30.11,448.88,36.16,8.01,0.03,3.8,0.21,10
"Mid channel","MK","Fall","Nov","FL",26.67,0.89,35.9,0.45,2371.06,21.39,2377.35,22.68,2068.95,52,2063.24,39.21,449.89,53.97,8.01,0.04,3.51,0.35,9
"Mid channel","MK","Fall","Dec","FL",24.2,0.65,35.95,0.56,2403.57,31.93,2407.08,46.8,2095.76,62.83,2092.59,49.88,411.88,41.43,8.05,0.03,3.5,0.2,14
"Mid channel","MK","Winter","Jan","FL",23.88,1.74,36.12,0.26,2422.8,71.16,2415.14,82.63,2103.56,94.38,2110.17,85.28,411.21,39.09,8.05,0.03,3.52,0.19,9
"Mid channel","MK","Winter","Feb","FL",23.5,1.32,35.89,0.45,2393.01,42.41,2400.69,69.19,2065.41,64.39,2058.75,41.14,354.56,16.19,8.1,0.02,3.72,0.11,7
"Mid channel","MK","Winter","Mar","FL",24.31,0.8,36.56,0.16,2399.71,16.7,2363.1,23,2019.41,16.13,2050.77,20.31,355.12,47.85,8.1,0.05,3.86,0.32,9
"Mid channel","LK","Spring","Apr","FL",26.5,1,36.31,0.33,2354.74,42.79,2334.65,51.19,1996.91,70.92,2014.03,64.86,390.63,95.77,8.06,0.08,3.81,0.45,12
"Mid channel","LK","Spring","May","FL",26.75,0.98,36.8,0.17,2294.45,62.16,2244.78,65.15,1904.03,67.59,1946.11,64.47,356.26,33.58,8.08,0.02,3.83,0.24,7
"Mid channel","LK","Spring","Jun","FL",28.9,1.21,36.38,0.34,2334.7,45.06,2310.06,42.29,1976.41,46.57,1997.37,42.81,419.25,40.02,8.03,0.04,3.82,0.19,15
"Mid channel","LK","Summer","Jul","FL",31.01,1.13,35.99,0.76,2322.63,54.94,2323.99,81.53,2004.73,79.93,2003.38,53.16,483.41,40.13,7.97,0.03,3.7,0.15,10
"Mid channel","LK","Summer","Aug","FL",30.96,0.57,36.14,0.27,2302.71,69.66,2293.5,70.32,1956.23,78.65,1961.86,74.28,456.32,52.2,7.99,0.04,3.73,0.19,11
"Mid channel","LK","Summer","Sep","FL",30.29,1.2,35.46,0.79,2314.01,81.18,2351.22,125.91,2039.52,118.55,2007.18,81.94,486.62,34.16,7.97,0.03,3.57,0.2,9
"Mid channel","LK","Fall","Oct","FL",29.19,0.47,35.38,0.44,2358.95,33.28,2400.53,47.18,2075.32,42.19,2039.29,23.98,456.63,29.65,8,0.03,3.71,0.23,12
"Mid channel","LK","Fall","Nov","FL",27.15,0.58,36.08,0.32,2368.55,27.4,2363.05,26.57,2059.5,43.63,2064.13,34.67,467.32,59.14,8,0.05,3.48,0.29,9
"Mid channel","LK","Fall","Dec","FL",24.8,0.76,36.09,0.24,2377.14,12.46,2371.31,19.05,2054.16,18.44,2059.25,17.47,400.04,28.7,8.05,0.03,3.57,0.17,15
"Mid channel","LK","Winter","Jan","FL",23.23,1.95,35.85,0.96,2379,54.26,2389.4,55.54,2104.92,71.56,2095.15,47,442.46,54.86,8.02,0.04,3.2,0.37,12
"Mid channel","LK","Winter","Feb","FL",23.17,1.5,35.77,0.63,2419.35,46.49,2435.23,43.83,2107.9,63.31,2093.81,50.22,374.22,42.11,8.09,0.04,3.65,0.38,9
"Mid channel","LK","Winter","Mar","FL",24.78,1.32,36.24,0.39,2396.12,37.02,2380.4,47.84,2050.11,49.59,2063.58,38.48,381.66,32.29,8.07,0.03,3.72,0.11,9
"Offshore","BB","Spring","Apr","FL",26.01,0.63,36.35,0.2,2384.46,7.23,2361.11,9.47,2033.75,10.2,2053.86,7.86,401.09,22.69,8.05,0.02,3.71,0.09,9
"Offshore","BB","Spring","May","FL",26.69,0.55,36.16,0.37,2387.74,6.5,2377.22,27.67,2038.07,31.56,2047.05,14.4,392.87,22.26,8.06,0.02,3.85,0.07,4
"Offshore","BB","Spring","Jun","FL",28.53,0.98,36.17,0.55,2373.03,11.47,2362.44,46.08,2035.53,47.48,2044.57,19.02,441.63,36.4,8.01,0.03,3.75,0.1,8
"Offshore","BB","Summer","Jul","FL",30.19,0.56,35.68,0.48,2375.13,22.04,2396.84,28.82,2061.92,33.75,2043.09,13.3,459.35,34.57,8,0.03,3.86,0.2,10
"Offshore","BB","Summer","Aug","FL",30.69,0.65,36.28,0.07,2362.06,28.22,2343.64,25.54,2020.11,9.3,2035.99,13.12,482.87,36.68,7.98,0.03,3.77,0.21,4
"Offshore","BB","Summer","Sep","FL",30.15,0.81,35.14,0.81,2377.28,24.92,2436.19,67.95,2103.8,46.65,2053.35,35.96,472.44,62.09,7.99,0.05,3.8,0.33,6
"Offshore","BB","Fall","Oct","FL",29.32,0.35,35.28,0.33,2372.42,4.18,2420.91,20.68,2082.33,29.14,2040.55,12.24,437.75,25.85,8.02,0.02,3.85,0.14,7
"Offshore","BB","Fall","Nov","FL",27.35,0.33,36.19,0.44,2385.53,15.13,2373.49,40.11,2052.62,58.36,2062.85,38.21,440.84,63.59,8.02,0.05,3.67,0.27,6
"Offshore","BB","Fall","Dec","FL",25.56,0.28,36.05,0.26,2383.73,11.59,2380.19,16.68,2056.41,28.41,2059.41,21.15,402.52,30.81,8.05,0.03,3.65,0.15,9
"Offshore","BB","Winter","Jan","FL",25.24,1.31,35.87,1.02,2382.59,20.81,2393.22,83.01,2065.68,73.84,2056.5,25.15,390.63,10.92,8.06,0.02,3.67,0.11,7
"Offshore","BB","Winter","Feb","FL",23.87,0.96,36.02,0.24,2375.69,9.53,2374.36,18.38,2045.06,18.98,2046.21,13.78,363.21,8.48,8.09,0.01,3.67,0.08,4
"Offshore","BB","Winter","Mar","FL",24.68,0.31,36.46,0.12,2387.68,9.4,2357.34,8.18,2024.09,5.5,2050.13,4.02,370.45,17.75,8.08,0.02,3.75,0.1,6
"Offshore","UK","Spring","Apr","FL",26.01,0.7,36.32,0.26,2382.56,4.86,2362.71,15.61,2033.93,16.39,2051.03,12.91,397.72,27.41,8.05,0.02,3.72,0.1,11
"Offshore","UK","Spring","May","FL",26.72,0.99,36.42,0.13,2393.35,3.7,2365.54,8.09,2029.88,9.53,2053.73,3.15,400.07,22.83,8.05,0.02,3.83,0.05,5
"Offshore","UK","Spring","Jun","FL",28.59,0.73,36.3,0.2,2375.32,14.65,2355.58,20.34,2022.46,16.39,2039.42,11.72,430.23,25.9,8.02,0.02,3.83,0.17,12
"Offshore","UK","Summer","Jul","FL",30.51,0.64,35.8,0.57,2364,12.57,2377.47,33.41,2045.33,44.37,2033.51,15.38,465.26,36.85,7.99,0.03,3.84,0.16,14
"Offshore","UK","Summer","Aug","FL",30.57,0.76,36.27,0.09,2391.28,19.12,2373.59,15.05,2023.06,15.24,2038.14,18.58,435.91,6.32,8.02,0.01,4.07,0.01,5
"Offshore","UK","Summer","Sep","FL",30.59,1.06,35.37,0.8,2374.1,19.06,2417.32,53.37,2078.15,58.56,2040.99,39.49,460.52,42.23,8,0.03,3.9,0.24,9
"Offshore","UK","Fall","Oct","FL",29.12,0.89,35.27,0.43,2376.15,9.08,2425.17,30.28,2081.21,36.54,2039.03,14.56,425.27,21.07,8.03,0.02,3.91,0.14,10
"Offshore","UK","Fall","Nov","FL",27.54,0.22,35.99,0.29,2370.12,16.54,2370.58,25.75,2060.48,47.8,2059.97,38.44,461.8,64.86,8,0.05,3.55,0.27,8
"Offshore","UK","Fall","Dec","FL",25.48,0.33,36.14,0.19,2390.2,6.14,2380.85,8.85,2058.88,16.93,2066.95,13.49,406.24,28.64,8.05,0.03,3.64,0.16,11
"Offshore","UK","Winter","Jan","FL",24.94,1.18,36.2,0.34,2385.31,17.87,2372.07,33.88,2045.44,33.65,2056.87,23.98,386.22,8.15,8.07,0.01,3.68,0.12,12
"Offshore","UK","Winter","Feb","FL",23.35,0.47,35.82,0.04,2380.94,3.39,2392.93,1.98,2067.17,9.78,2056.82,11.76,364.24,9.85,8.09,0.01,3.61,0.1,3
"Offshore","UK","Winter","Mar","FL",24.91,0.74,36.45,0.07,2387.58,2.89,2357.91,3.71,2026.47,6.11,2051.97,6.93,376.8,9.39,8.07,0.01,3.74,0.08,8
"Offshore","MK","Spring","Apr","FL",25.99,0.74,36.38,0.22,2383.36,7.7,2358.63,13.49,2021.84,15.85,2043.05,14.21,383.8,25.86,8.07,0.02,3.81,0.13,13
"Offshore","MK","Spring","May","FL",26.85,0.76,36.4,0.23,2386.06,19.89,2359.63,29.43,2024.64,34.61,2047.26,24,401.54,33.1,8.05,0.03,3.82,0.13,7
"Offshore","MK","Spring","Jun","FL",28.63,1.15,36.23,0.19,2361.9,49.42,2346.46,41.83,2002.6,38.84,2015.81,46.2,405.97,25.29,8.04,0.02,3.93,0.17,13
"Offshore","MK","Summer","Jul","FL",30.5,0.76,35.71,0.7,2344.36,24.13,2364.18,56.81,2034.15,58.85,2016.93,27.35,462.43,39.38,7.99,0.03,3.8,0.18,13
"Offshore","MK","Summer","Aug","FL",30.48,0.95,36.12,0.29,2377.88,35.54,2369.99,45.99,2020.7,50.69,2027.38,41.94,432.5,15.43,8.02,0.01,4.04,0.09,8
"Offshore","MK","Summer","Sep","FL",30.2,0.83,35.43,0.73,2358.24,34.71,2396.85,70.94,2062.9,71.17,2029.71,48.98,456.59,35.69,8,0.02,3.83,0.2,9
"Offshore","MK","Fall","Oct","FL",29.28,0.43,35.22,0.65,2377.63,12.45,2430.97,54.31,2087.58,45.95,2041.79,13.15,430.68,25.78,8.02,0.02,3.9,0.16,10
"Offshore","MK","Fall","Nov","FL",27.55,0.06,36.03,0.39,2379.72,18.36,2377.55,26.51,2053.5,51.93,2055.22,41.17,437.49,66.39,8.02,0.05,3.7,0.31,9
"Offshore","MK","Fall","Dec","FL",25.42,0.36,36.01,0.23,2379.19,11.63,2378.65,16.12,2052.81,22.94,2053.31,24.29,395.3,30.31,8.06,0.03,3.67,0.16,15
"Offshore","MK","Winter","Jan","FL",24.87,1.05,36.18,0.4,2385.34,18.06,2373.85,38.02,2053.73,36.84,2063.66,20.83,396.91,7.74,8.06,0.01,3.61,0.06,10
"Offshore","MK","Winter","Feb","FL",22.95,1.84,35.81,0.39,2381.98,17.49,2394.67,38.66,2070.18,46.35,2059.12,28.1,361.07,13.7,8.09,0.02,3.59,0.21,6
"Offshore","MK","Winter","Mar","FL",24.85,0.54,36.48,0.08,2389.06,8.52,2357.43,10.95,2028.48,13.53,2055.69,10.79,380.49,13.78,8.07,0.01,3.71,0.06,9
"Offshore","LK","Spring","Apr","FL",26.07,0.88,36.4,0.27,2372.45,15.22,2346.43,25.83,2025.87,35.18,2048.32,29.39,412.22,47.05,8.04,0.04,3.64,0.21,14
"Offshore","LK","Spring","May","FL",26.44,0.56,36.5,0.22,2377,12.1,2344.43,23.81,2019.17,24.2,2047.21,16.17,408.04,13.78,8.04,0.01,3.71,0.08,10
"Offshore","LK","Spring","Jun","FL",28.58,1.17,36.3,0.14,2369.33,23.68,2349.26,18.6,2018.46,18.52,2035.69,21.79,431.83,21.34,8.02,0.02,3.8,0.12,18
"Offshore","LK","Summer","Jul","FL",30.3,0.59,35.84,0.56,2364.72,22.86,2375.41,34.29,2055.19,41.38,2045.7,12.32,488.15,49.09,7.98,0.04,3.71,0.23,13
"Offshore","LK","Summer","Aug","FL",30.31,0.4,36.09,0.23,2378.79,17.45,2372.61,18.95,2036.68,14.3,2041.69,12.64,458.36,23.43,8,0.02,3.88,0.14,15
"Offshore","LK","Summer","Sep","FL",29.83,0.73,35.28,0.72,2364.08,26.93,2412.75,52.01,2081.76,55.45,2039.83,43.42,460.13,42.93,8,0.03,3.78,0.22,12
"Offshore","LK","Fall","Oct","FL",28.97,0.55,35.52,0.34,2373.26,7.22,2405.64,22.47,2070.37,21.38,2042.49,8.04,436.51,20.03,8.02,0.02,3.82,0.1,16
"Offshore","LK","Fall","Nov","FL",27.39,0.22,36.18,0.3,2377.68,12.24,2365.64,27.16,2051.62,49.88,2061.89,36.26,453.05,65.9,8.01,0.05,3.6,0.28,12
